company_name,industries,locations,company_page_url
"BlindPay","Fintech; Payments","","/companies/blindpay"
"Fira","B2B; Finance and Accounting","San Francisco, CA, USA","/companies/fira"
"Axal","B2B; Engineering, Product and Design","San Francisco, CA, USA","/companies/axal"
"Dexterity","B2B; Analytics","San Francisco, CA, USA","/companies/dexterity"
"Browser Use","B2B","San Francisco, CA, USA","/companies/browser-use"
"CopyCat","B2B; Productivity","Seattle, WA, USA","/companies/copycat"
"Dalus","B2B; Engineering, Product and Design","San Francisco, CA, USA","/companies/dalus"
"Spott","B2B; Recruiting and Talent","Leuven, Flanders, Belgium","/companies/spott"
"Woz","B2B","San Francisco, CA, USA","/companies/woz"
"Forge Automation","Industrials; Manufacturing and Robotics","Toronto, ON, Canada","/companies/forge-automation"
"Mastra","B2B; Engineering, Product and Design","Remote","/companies/mastra"
"Misprint","Consumer","","/companies/misprint"
"Orbital Operations","Industrials; Aviation and Space","Huntington Beach, CA, USA","/companies/orbital-operations"
"Mesh","B2B; Finance and Accounting","San Francisco, CA, USA","/companies/mesh-2"
"Outlit","B2B; Sales","San Francisco, CA, USA","/companies/outlit"
"Harper","Fintech; Insurance","San Francisco, CA, USA","/companies/harper"
"Karsa","Fintech","New York, NY, USA","/companies/karsa"
"Confident AI","B2B; Engineering, Product and Design","San Francisco, CA, USA","/companies/confident-ai"
"Riviera","B2B","San Francisco, CA, USA","/companies/riviera"
"Solidroad","B2B","Dublin, County Dublin, Ireland","/companies/solidroad"
"Lucidic AI","B2B","San Francisco, CA, USA","/companies/lucidic-ai"
"Cenote","Healthcare; Healthcare Services","San Francisco, CA, USA","/companies/cenote"
"Asteroid","B2B","San Francisco, CA, USA","/companies/asteroid"
"Gale","B2B","San Francisco, CA, USA","/companies/gale"
"finbar","Fintech","London, England, United Kingdom","/companies/finbar"
"Cuckoo Labs","B2B","San Francisco, CA, USA","/companies/cuckoo-labs"
"Mecha Health","Healthcare","San Francisco, CA, USA","/companies/mecha-health"
"GradeWiz","Education","San Francisco, CA, USA","/companies/gradewiz"
"HealthKey","Healthcare; Healthcare IT","Austin, TX, USA","/companies/healthkey"
"ZeroEntropy","B2B; Infrastructure","San Francisco, CA, USA","/companies/zeroentropy"
"Adam","B2B; Engineering, Product and Design","San Francisco, CA, USA","/companies/adam"
"Caseflood.ai","B2B; Legal","San Francisco, CA, USA","/companies/caseflood-ai"
"a0.dev","B2B; Engineering, Product and Design","San Francisco, CA, USA","/companies/a0-dev"
"Tessa","B2B; Productivity","San Francisco, CA, USA","/companies/tessa"
"Toothy AI","Healthcare; Healthcare IT","San Francisco, CA, USA","/companies/toothy-ai"
"Hyphen","B2B","San Francisco, CA, USA","/companies/hyphen"
"Promptless","B2B; Engineering, Product and Design","San Francisco, CA, USA","/companies/promptless"
"Subtrace","B2B; Engineering, Product and Design","San Francisco, CA, USA","/companies/subtrace"
"Karoo","Fintech; Consumer Finance","Toronto, ON, Canada","/companies/karoo"
"Alice.tech","Education","Copenhagen, Denmark","/companies/alice-tech"
"SubImage","B2B; Security","San Francisco, CA, USA","/companies/subimage"
"Leaping AI","B2B","San Francisco, CA, USA","/companies/leaping-ai"
"Revise Robotics","Industrials; Manufacturing and Robotics","","/companies/revise-robotics"
"Edexia","Education","San Francisco, CA, USA","/companies/edexia"
"Quantstruct","B2B","San Francisco, CA, USA","/companies/quantstruct"
"Exin Therapeutics","Healthcare; Therapeutics","San Francisco, CA, USA","/companies/exin-therapeutics"